source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,rpgeo
1988243754078755072,339.3383760184717,50.38200040399449,0.2634924324861561,11.1052485,15.3764753,15.6829338,14.9004383,0.782495499,3354.85742
1975337205549979392,330.7017217059741,47.457723376889575,0.5976322976275243,22.3865623,15.1898336,15.3845243,14.3981886,0.986335754,1592.05774
6220907464198782080,214.5396945442625,-30.206810029341263,1.2391362888680224,20.1126232,12.9540005,13.4584084,12.2875748,1.17083359,799.784912
2032332177531053056,293.7613415964379,29.32457604563889,0.6541366767744224,19.9549103,16.1352425,16.5946693,15.5156374,1.07903194,1478.73035
3093278160031665280,125.33550447708366,4.963825984137208,7.524463976915586,15.4255362,19.5993156,19.7503014,19.2477932,0.502508163,140.301498
6095201979129028992,210.0643692934404,-47.1892134894874,0.4056211430151206,10.3400221,15.4769287,15.867753,14.9154501,0.952302933,2169.91772
6252199736930298880,228.9194510360638,-22.77016725536677,4.3506401325104935,27.4650097,18.0365601,19.6047745,16.8315926,2.77318192,228.596619
4066721605708476416,272.70750011251323,-22.476263540677994,0.967694478049274,31.440485,15.0884609,15.5607405,14.3293152,1.23142529,989.747559
4103824793019274624,280.07018541055373,-13.768936083075667,0.4409950875995903,11.7806244,15.687788,16.5331631,14.771842,1.76132107,2080.49341
4524317454398907520,278.54663101464064,18.6726544146314,1.4086945910070718,30.4419861,16.3847809,17.0480347,15.601923,1.44611168,706.849487
1895181570929477248,332.7523419349252,29.59975521691885,0.6496818258813936,11.2751198,16.5200577,16.9493828,15.9343548,1.015028,1521.79224
3453287919420068992,92.31701142584484,35.30556053954525,0.6222813076929595,21.3074856,14.8883514,15.304287,14.3007107,1.00357628,1489.69092
499674334850182144,84.60040208398297,73.87177930846941,1.0280288727619673,28.5733013,14.4416208,14.8335457,13.8774662,0.956079483,941.996704
4476366034319294720,269.6090919785818,8.615484975040353,1.0016899511103887,67.9170837,13.0317545,13.3422871,12.5552435,0.787043571,968.862976
5235889081767426560,175.66316094112514,-67.3598624750152,0.7539419635295836,18.877512,16.4775524,17.1056271,15.7232618,1.38236523,1275.48792
6301129756705106816,212.28455315225443,-15.298825414888377,1.7266633235354154,14.8993473,16.9206543,17.9432201,15.8754559,2.06776428,548.088989
941255796752294016,98.51316494346796,32.983100154986545,0.4650679506342804,15.3790827,15.003129,15.3550282,14.4672689,0.887759209,1939.15503
1898160182292145536,329.13525224712464,31.994926928648937,0.7009045213451162,28.767107,15.0498362,15.3515549,14.5769815,0.774573326,1370.01001
1963167123660071808,334.1123903921677,46.12701034082802,0.5157518668315949,17.8745041,15.5400667,15.8861828,15.0202665,0.865916252,1845.50598
